,ra,dec,ps,host,label
0,143.203,21.466,0.5220361710885714,NGC2903,0
1,142.554,19.991,0.398563766237879,NGC2903,0
2,143.307,20.515,0.31791995657321553,NGC2903,0
3,144.089,21.599,0.24450973907207882,NGC2903,0
4,142.667,21.724,0.1937313544786096,NGC2903,0
5,143.099,19.875,0.22130494836928044,NGC2903,0
6,189.771,32.505,0.6986697681199155,NGC4631,0
7,190.631,31.969,0.21889504142692282,NGC4631,0
8,190.221,32.282,0.27246465960342797,NGC4631,0
9,190.853,32.482,0.500592838472155,NGC4631,0
10,190.244,32.790,1.9672680105957225,NGC4631,0
11,189.832,32.861,0.3923212362064704,NGC4631,0
12,190.446,32.858,0.5677508476007491,NGC4631,0
13,190.499,32.574,0.8259302756904424,NGC4631,0
14,189.206,33.613,0.36888997232113724,NGC4631,0
15,192.219,31.970,0.498241001576601,NGC4631,0
16,211.389,54.461,0.8611555660816274,M101,0
17,208.690,53.901,2.4464196010172437,M101,0
18,210.938,53.944,0.426908649468149,M101,0
19,210.774,53.616,0.8842611910121915,M101,0
20,211.708,53.742,0.27984580924485863,M101,0
21,207.743,54.689,0.7132993996804635,M101,0
22,209.311,54.101,0.5270660794246718,M101,0
23,193.760,40.589,0.7977414158276837,M94,0
24,192.768,41.636,0.6745043329285628,M94,0
25,190.980,41.457,0.824905754150404,M94,0
26,7.844,-22.766,0.7450664305712793,NGC253,0
27,12.454,-21.016,1.1354341643043726,NGC253,0
28,13.754,-23.169,0.5053415328613465,NGC253,0
29,191.337,21.427,0.8469505369721575,M64,0
30,192.403,21.918,0.21465647584087563,M64,0
31,192.942,21.735,0.5847412667665326,M64,0
32,193.921,19.209,1.0759579840023947,M64,0
33,195.129,18.717,0.856680008964945,M64,0
34,195.674,21.998,0.5551879955884403,M64,0
35,193.024,22.265,0.2842222005893067,M64,0
36,194.714,23.490,0.6859277754915233,M64,0
37,197.674,41.891,0.43158352744556977,NGC5055,0
38,198.077,41.976,0.3963388716430607,NGC5055,0
39,198.244,41.786,0.8231262191237531,NGC5055,0
40,198.416,42.043,0.45222163517322456,NGC5055,0
41,198.475,42.209,0.9737698716569515,NGC5055,0
42,198.816,41.396,0.24685792940437795,NGC5055,0
43,198.874,41.502,0.6278635590385121,NGC5055,0
44,200.371,42.433,0.14715552164965123,NGC5055,0
45,187.766,1.676,0.3836550128187149,NGC4517,0
46,188.151,0.262,0.21524561053588256,NGC4517,0
47,189.176,-0.430,0.30984547671036017,NGC4517,0
48,189.705,-0.598,0.18858143257003715,NGC4517,0
49,189.709,-1.087,0.15712543131757603,NGC4517,0
50,189.559,0.477,0.3537447610135492,NGC4517,0
51,189.761,-0.664,0.6431863450196104,NGC4517,0
52,170.731,13.441,0.5621329853585303,NGC3627,0
53,170.830,13.630,0.6164616620039708,NGC3627,0
54,169.254,13.099,0.4448198768054941,NGC3627,0
55,169.810,11.952,0.5755156424305143,NGC3627,0
56,170.600,12.980,0.2585062794959889,NGC3627,0
57,170.907,12.896,0.3308217383528578,NGC3627,0
58,169.676,12.561,0.31983322635338457,NGC3627,0
59,170.806,13.714,0.9559391556189837,NGC3627,0
60,170.067,13.549,0.4094601957345634,NGC3627,0
61,169.723,13.805,0.4016024888299121,NGC3627,0
62,170.404,13.447,0.30829221933717793,NGC3627,0
63,162.579,13.272,0.6787943448575589,NGC3379,0
64,162.224,14.124,0.406144078188646,NGC3379,0
65,160.502,12.335,0.6404208981346032,NGC3379,0
66,161.147,13.940,0.4196380374758392,NGC3379,0
67,162.838,12.849,0.5200596005640137,NGC3379,0
68,162.756,13.334,0.5924089090636523,NGC3379,0
69,161.672,12.327,0.48138494939268317,NGC3379,0
70,162.613,12.360,0.909516952312693,NGC3379,0
71,160.643,12.151,0.7517460622539474,NGC3379,0
72,161.603,14.024,0.5024090198892476,NGC3379,0
73,161.739,12.998,0.6900593912267783,NGC3379,0
74,161.239,11.916,0.34084295378097873,NGC3379,0
75,161.720,12.742,0.9735530180371857,NGC3379,0
76,161.626,11.756,0.40728865509247036,NGC3379,0
77,161.727,12.789,0.3039755292998973,NGC3379,0
78,161.559,12.961,0.2884333797637551,NGC3379,0
79,161.752,12.960,0.2682526817226402,NGC3379,0
80,161.805,12.802,0.49626444914240064,NGC3379,0
81,162.358,12.552,0.3530718543849976,NGC3379,0
82,162.055,11.968,0.29981890791232435,NGC3379,0
83,162.149,13.060,0.34891523299742466,NGC3379,0
84,161.926,12.975,0.26439726478344217,NGC3379,0
85,161.159,13.859,0.21144552275914377,NGC3379,0
86,161.919,12.049,0.348312824100675,NGC3379,0
87,162.298,12.793,0.26319244698994276,NGC3379,0
88,161.160,13.856,0.23138525724155876,NGC3379,0
89,162.649,12.609,0.3327104336748578,NGC3379,0
90,162.104,11.912,0.7734930234266114,NGC3379,0
91,162.600,12.218,0.15530101358207196,NGC3379,0
92,157.652,70.618,1.8848089462814657,M81,0
93,149.261,68.592,1.788211595017893,M81,0
94,151.168,68.256,0.815274502531373,M81,0
95,152.025,68.399,2.0442570695316884,M81,0
96,146.292,68.765,1.3380786513294147,M81,0
