Name Dist(Mpc) Nconfirmed(unconfirmed) rcover(kpc) Detection Confirmation Photometry
MW 0 7(0) 300 – – M12
M31 0.78 13(0) 300 – – M12
NGC1023 10.4 12(3) 300 CFHT/MegaCam CFHT/MegaCam CFHT/MegaCam
NGC2903 9.0 6(1) 300 CFHT/MegaCam,DECaLS CFHT/MegaCam,Gemini CFHT/MegaCam,DECaLS
NGC4258 7.2 5(0) 150 CFHT/MegaCam CFHT/MegaCam CFHT/MegaCam
NGC4565 11.9 3(5) 150 CFHT/MegaCam CFHT/MegaCam CFHT/MegaCam
NGC4631 7.4 10(0) 200 DECaLS CFHT/MegaCam,Gemini CFHT/MegaCam,DECaLS
M51 8.58 0(2) 150 CFHT/MegaCam CFHT/MegaCam CFHT/MegaCam
M104 9.55 11(2) 150 CFHT/MegaCam CFHT/MegaCam CFHT/MegaCam
NGC891 9.12 3(0) 200 CFHT/MegaCam CFHT/MegaCam CFHT/MegaCam
NGC6744 8.95 5(6) 200 DECam DECam DECam
M101 6.5 7(0) 300 DECaLS B19,Subaru/HSC CFHT/MegaCam,DECaLS
M94 4.2 3(3) 200 DECaLS S18 DECaLS
NGC253 3.56 3(0) 300 DECaLS DECaLS DECaLS
M64 5.3 8(2) 300 DECaLS DECaLS/HSC DECaLS
NGC5055 8.87 8(0) 200 DECaLS Subaru/HSC DECaLS
NGC4517 8.34 7(0) 300 DECaLS Subaru/HSC DECaLS
NGC3627 10.5 11(5) 200 DECaLS CFHT/MegaCam,Subaru/HSC DECaLS
NGC3379 10.7 29(16) 300 DECaLS CFHT/MegaCam,Subaru/HSC DECaLS
M81 3.61 19(0) 300 C13 C13 DECaLS
CENA 3.66 15(0) 200 M19,C19 M19,C19 DECam,M17
NGC628 9.77 13(1) 300 DECaLS Gemini DECaLS
NGC3115 10.2 14(4) 300 DECaLS Gemini DECaLS
NGC5236 4.7 11(0) 300 M15 M18/DECam DECam
