,x,y,name
0,2,0,"(100, 100).fits"
1,1,0,"(100, 280.0).fits"
2,0,0,"(100, 460.0).fits"
3,2,1,"(280.0, 100).fits"
4,1,1,"(280.0, 280.0).fits"
5,0,1,"(280.0, 460.0).fits"
6,2,2,"(460.0, 100).fits"
7,1,2,"(460.0, 280.0).fits"
8,0,2,"(460.0, 460.0).fits"
9,2,3,"(640.0, 100).fits"
10,1,3,"(640.0, 280.0).fits"
11,0,3,"(640.0, 460.0).fits"
12,2,4,"(820.0, 100).fits"
13,1,4,"(820.0, 280.0).fits"
14,0,4,"(820.0, 460.0).fits"
15,2,5,"(1000.0, 100).fits"
16,1,5,"(1000.0, 280.0).fits"
17,0,5,"(1000.0, 460.0).fits"
